suburb,branchCode,speedDial,region,phone1,phone2,fax,email,manager,managerPhone,supervisor,supervisorPhone,supervisor2,supervisor2Phone,daysHomeVisit,hoursOpen,saturdayHoursOpen,dom1,dom2,dom3,dom4
North Ryde,GV,*020043,Gladesville       ,9879 3652,,,,,,,,,,MO/TU/THU,7.30-4pm,,,,,
North Sydney,NB,*020042,Northbridge,9958 4724,,,,,,,,,,MON/THU,8-4pm,,,,,
North Turramurra,RR,*020991,Nth Turramurra,9440 7711,,,,,,,,,,,7.30-3.30pm,,,,,
Northbridge,NB,*020042,Northbridge    ,9958 4724,,,,,,,,,,MON-FRI,8-4pm,,,,,
Northmead,2EG/WE,*020782,Epping       ,8650 1567,,,,,,,,,,MON/THU,7.30-3.30pm,,,,,
Northside Clinic (Am),Onsite,,St Leonards,0408 950 215,,,,,,,,,,7.30-1pm,7.30-1pm,,,,,
Northside Clinic (Pm),LC,*020033,Lane Cove      ,9427 6540,,,,,,,,,,1-3.30pm,8-5pm,,,,,
Northwood,LC,*020033,Lane Cove      ,9427 6540,,,,,,,,,,,8-5pm,,,,,
Norwest,2YD,*020846,Dural,8650 1377,,,,,,,,,,TUE,8-4pm,,,,,
Oakdale,CM,*020335,Camden,4655 9688,,,,,,,,,,FRI,7.30-5pm,,,,,
Oakhurst,BK,*020013,Blacktown,9622 2608,,,,,,,,,,TUE,7.30-3.30pm,,,,,
